Name, Keyfp, Status
isysd, 9D85 DCE3 5BD7 3BE6 6233  C3E0 0E16 B546 5C35 86F6, active
troll4u, 8F5E 2CD7 67CA D246 AD0C  AEDC 600E AD50 69F7 F1A6, active
f3rnando, CDDD DF0B 5812 64BF B14E  E3EC 5C16 AF22 88F3 D480, active
ManfredKarrer, 0443 6EBA 5326 E9FF 1394  93FC 4012 5096 6A6B 2C46, active
bitt-john,2BC6 93C7 A428 9413 91A6  F170 3E33 B8A4 A113 0F05, active
schinzelh, AF1A E13F 33D0 6F48 7F23 DC81 4B88 269A BD8D F332, active
d3brouille, 97B5 E192 9246 F66F 76AB  9E7A B804 288C 947C A421, active
